musher,bib,intime,indogs,outtime,outdogs,rest,enroute,prev,speed,checkpoint
Jessie Holmes,5,3/3 20:58:00,14,3/4 03:24:00,14,6h 26m,2h 55m,3/3 18:03:00,10.29,Skwentna
Charley Bejna,31,3/3 22:23:00,14,3/4 03:26:00,14,5h 3m,3h 5m,3/3 19:18:00,9.73,Skwentna
Anja Radano,2,3/4 03:14:00,14,3/4 03:28:00,14,0h 14m,8h 25m,3/3 18:49:00,3.56,Skwentna
Anna Berington,10,3/3 22:01:00,14,3/4 03:32:00,14,5h 31m,3h 26m,3/3 18:35:00,8.74,Skwentna
Kristy Berington,26,3/3 22:20:00,14,3/4 03:34:00,13,5h 14m,3h 24m,3/3 18:56:00,8.82,Skwentna
Jeff Deeter,25,3/4 00:39:00,13,3/4 03:43:00,13,3h 4m,3h 25m,3/3 21:14:00,8.78,Skwentna
Jeff King,23,3/3 21:51:00,14,3/4 03:57:00,14,6h 6m,3h 13m,3/3 18:38:00,9.33,Skwentna
Robert Redington,34,3/4 04:04:00,14,3/4 04:07:00,14,0h 3m,8h 14m,3/3 19:50:00,3.64,Skwentna
Jessica Klejka,24,3/3 23:52:00,14,3/4 04:30:00,14,4h 38m,3h 8m,3/3 20:44:00,9.57,Skwentna
Sarah Stokey,52,3/3 23:29:00,14,3/4 04:31:00,14,5h 2m,3h 31m,3/3 19:58:00,8.53,Skwentna
Lance Mackey,44,3/4 01:16:00,14,3/4 04:38:00,14,3h 22m,3h 14m,3/3 22:02:00,9.28,Skwentna
Michi Konno,43,3/4 00:37:00,14,3/4 04:45:00,14,4h 8m,3h 24m,3/3 21:13:00,8.82,Skwentna
Marcelle Fressineau,27,3/3 23:47:00,14,3/4 04:54:00,14,5h 7m,3h 39m,3/3 20:08:00,8.22,Skwentna
Emily Maxwell,18,3/3 22:19:00,14,3/4 05:02:00,14,6h 43m,3h 30m,3/3 18:49:00,8.57,Skwentna
Kristin Bacon,8,3/4 03:58:00,14,3/4 05:19:00,14,1h 21m,8h 27m,3/3 19:31:00,3.55,Skwentna
Shaynee Traska,7,3/4 01:26:00,14,3/4 05:20:00,14,3h 54m,3h 33m,3/3 21:53:00,8.45,Skwentna
Seth Barnes,45,3/4 02:21:00,14,3/4 05:26:00,14,3h 5m,3h 16m,3/3 23:05:00,9.18,Skwentna
Martin Apayauq Reitan,39,3/4 00:09:00,14,3/4 05:36:00,14,5h 27m,3h 35m,3/3 20:34:00,8.37,Skwentna
Jeremy Keller,48,3/3 23:27:00,13,3/4 06:00:00,13,6h 33m,3h 19m,3/3 20:08:00,9.05,Skwentna
Niklas Wikstrand,42,3/4 02:30:00,14,3/4 06:45:00,14,4h 15m,3h 21m,3/3 23:09:00,8.96,Skwentna
Cindy Gallea,53,3/3 23:50:00,14,3/4 06:53:00,14,7h 3m,3h 32m,3/3 20:18:00,8.49,Skwentna
