musher,checkName,checkPlace,index
Martin Apayauq Reitan,Koyuk,33,19
Martin Apayauq Reitan,McGrath,41,8
Martin Apayauq Reitan,Nikolai,38,7
Martin Apayauq Reitan,Nome,29,23
Martin Apayauq Reitan,Ophir,42,10
Martin Apayauq Reitan,Rainy Pass,41,5
Martin Apayauq Reitan,Rohn,47,6
Martin Apayauq Reitan,Safety,30,22
Martin Apayauq Reitan,Shageluk,38,12
Martin Apayauq Reitan,Shaktoolik,36,18
Martin Apayauq Reitan,Skwentna,23,3
Martin Apayauq Reitan,Takotna,25,9
Martin Apayauq Reitan,Unalakleet,36,17
Martin Apayauq Reitan,White Mountain,30,21
Martin Apayauq Reitan,Willow,38,1
Martin Apayauq Reitan,Yentna,40,2
Martin Buser,Anvik,33,13
Martin Buser,Eagle Island,31,15
Martin Buser,Elim,26,20
Martin Buser,Finger Lake,37,4
Martin Buser,Grayling,32,14
Martin Buser,Iditarod,4,11
Martin Buser,Kaltag,30,16
Martin Buser,Koyuk,27,19
Martin Buser,McGrath,22,8
Martin Buser,Nikolai,20,7
Martin Buser,Nome,23,23
Martin Buser,Ophir,5,10
Martin Buser,Rainy Pass,23,5
Martin Buser,Rohn,26,6
Martin Buser,Safety,23,22
Martin Buser,Shageluk,31,12
Martin Buser,Shaktoolik,30,18
Martin Buser,Skwentna,41,3
Martin Buser,Takotna,21,9
Martin Buser,Unalakleet,31,17
Martin Buser,White Mountain,25,21
Martin Buser,Willow,20,1
Martin Buser,Yentna,11,2
Mats Pettersson,Anvik,15,13
Mats Pettersson,Eagle Island,13,15
Mats Pettersson,Elim,14,20
Mats Pettersson,Finger Lake,10,4
Mats Pettersson,Grayling,14,14
Mats Pettersson,Iditarod,15,11
Mats Pettersson,Kaltag,11,16
Mats Pettersson,Koyuk,15,19
Mats Pettersson,McGrath,16,8
Mats Pettersson,Nikolai,14,7
Mats Pettersson,Nome,20,23
Mats Pettersson,Ophir,22,10
Mats Pettersson,Rainy Pass,10,5
Mats Pettersson,Rohn,13,6
Mats Pettersson,Safety,20,22
Mats Pettersson,Shageluk,13,12
Mats Pettersson,Shaktoolik,14,18
Mats Pettersson,Skwentna,3,3
Mats Pettersson,Takotna,12,9
Mats Pettersson,Unalakleet,14,17
Mats Pettersson,White Mountain,19,21
Mats Pettersson,Willow,3,1
Mats Pettersson,Yentna,2,2
Matt Hall,Anvik,13,13
Matt Hall,Eagle Island,16,15
Matt Hall,Elim,5,20
Matt Hall,Finger Lake,14,4
Matt Hall,Grayling,13,14
Matt Hall,Iditarod,13,11
Matt Hall,Kaltag,13,16
Matt Hall,Koyuk,7,19
Matt Hall,McGrath,6,8
Matt Hall,Nikolai,5,7
Matt Hall,Nome,6,23
Matt Hall,Ophir,14,10
Matt Hall,Rainy Pass,5,5
Matt Hall,Rohn,8,6
Matt Hall,Safety,7,22
Matt Hall,Shageluk,10,12
Matt Hall,Shaktoolik,9,18
Matt Hall,Skwentna,2,3
Matt Hall,Takotna,5,9
Matt Hall,Unalakleet,9,17
Matt Hall,White Mountain,5,21
Matt Hall,Willow,2,1
Matt Hall,Yentna,3,2
Matthew Failor,Anvik,9,13
Matthew Failor,Eagle Island,9,15
Matthew Failor,Elim,20,20
Matthew Failor,Finger Lake,12,4
Matthew Failor,Grayling,9,14
Matthew Failor,Iditarod,11,11
Matthew Failor,Kaltag,8,16
Matthew Failor,Koyuk,21,19
Matthew Failor,McGrath,12,8
Matthew Failor,Nikolai,12,7
Matthew Failor,Nome,18,23
Matthew Failor,Ophir,15,10
Matthew Failor,Rainy Pass,20,5
Matthew Failor,Rohn,15,6
Matthew Failor,Safety,19,22
Matthew Failor,Shageluk,8,12
Matthew Failor,Shaktoolik,8,18
Matthew Failor,Skwentna,19,3
Matthew Failor,Takotna,9,9
Matthew Failor,Unalakleet,8,17
Matthew Failor,White Mountain,20,21
Matthew Failor,Willow,16,1
Matthew Failor,Yentna,4,2
Michael Baker,Anvik,44,13
Michael Baker,Eagle Island,43,15
Michael Baker,Elim,34,20
Michael Baker,Finger Lake,45,4
Michael Baker,Grayling,44,14
Michael Baker,Iditarod,44,11
Michael Baker,Kaltag,43,16
Michael Baker,Koyuk,34,19
Michael Baker,McGrath,43,8
Michael Baker,Nikolai,45,7
Michael Baker,Nome,34,23
Michael Baker,Ophir,46,10
Michael Baker,Rainy Pass,44,5
Michael Baker,Rohn,43,6
Michael Baker,Safety,35,22
Michael Baker,Shageluk,42,12
Michael Baker,Shaktoolik,37,18
Michael Baker,Skwentna,47,3
Michael Baker,Takotna,33,9
Michael Baker,Unalakleet,38,17
Michael Baker,White Mountain,34,21
Michael Baker,Willow,40,1
Michael Baker,Yentna,34,2
Michi Konno,Anvik,22,13
Michi Konno,Eagle Island,23,15
Michi Konno,Elim,27,20
Michi Konno,Finger Lake,27,4
Michi Konno,Grayling,23,14
Michi Konno,Iditarod,23,11
Michi Konno,Kaltag,19,16
Michi Konno,Koyuk,26,19
Michi Konno,McGrath,25,8
Michi Konno,Nikolai,22,7
Michi Konno,Nome,26,23
Michi Konno,Ophir,28,10
Michi Konno,Rainy Pass,15,5
Michi Konno,Rohn,23,6
Michi Konno,Safety,26,22
Michi Konno,Shageluk,18,12
Michi Konno,Shaktoolik,22,18
Michi Konno,Skwentna,24,3
Michi Konno,Takotna,20,9
Michi Konno,Unalakleet,20,17
Michi Konno,White Mountain,27,21
Michi Konno,Willow,42,1
Michi Konno,Yentna,36,2
Mitch Seavey,Anvik,5,13
Mitch Seavey,Eagle Island,4,15
Mitch Seavey,Elim,6,20
Mitch Seavey,Finger Lake,13,4
Mitch Seavey,Grayling,5,14
Mitch Seavey,Iditarod,8,11
Mitch Seavey,Kaltag,5,16
Mitch Seavey,Koyuk,6,19
Mitch Seavey,McGrath,10,8
Mitch Seavey,Nikolai,10,7
Mitch Seavey,Nome,9,23
Mitch Seavey,Ophir,13,10
Mitch Seavey,Rainy Pass,17,5
Mitch Seavey,Rohn,10,6
Mitch Seavey,Safety,9,22
Mitch Seavey,Shageluk,5,12
Mitch Seavey,Shaktoolik,5,18
Mitch Seavey,Skwentna,12,3
Mitch Seavey,Takotna,8,9
Mitch Seavey,Unalakleet,5,17
Mitch Seavey,White Mountain,10,21
Mitch Seavey,Willow,31,1
Mitch Seavey,Yentna,33,2
Nicolas Petit,Anvik,1,13
Nicolas Petit,Eagle Island,3,15
