currentMusher,musherLocation,currentTimeStamp,index,relOrder
Jessie Holmes,Koyuk_outTime,2019-03-12T18:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T19:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T20:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T21:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T22:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-12T23:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T00:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T01:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T02:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T03:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T04:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T05:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T06:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T07:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T08:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T09:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T10:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T11:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T12:00:00Z,38,1
Jessie Holmes,Koyuk_outTime,2019-03-13T13:00:00Z,38,1
Jessie Holmes,Elim_inTime,2019-03-13T14:00:00Z,39,1
Jessie Holmes,Elim_inTime,2019-03-13T15:00:00Z,39,1
Jessie Holmes,Elim_inTime,2019-03-13T16:00:00Z,39,1
Jessie Holmes,Elim_inTime,2019-03-13T17:00:00Z,39,1
Jessie Holmes,Elim_inTime,2019-03-13T18:00:00Z,39,1
Jessie Holmes,Elim_inTime,2019-03-13T19:00:00Z,39,1
Jessie Holmes,Elim_outTime,2019-03-13T20:00:00Z,40,1
Jessie Holmes,Elim_outTime,2019-03-13T21:00:00Z,40,1
Jessie Holmes,Elim_outTime,2019-03-13T22:00:00Z,40,1
Jessie Holmes,Elim_outTime,2019-03-13T23:00:00Z,40,1
Jessie Holmes,Elim_outTime,2019-03-14T00:00:00Z,40,1
Jessie Holmes,Elim_outTime,2019-03-14T01:00:00Z,40,1
Jessie Holmes,Elim_outTime,2019-03-14T02:00:00Z,40,1
Jessie Holmes,White Mountain_inTime,2019-03-14T03:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T04:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T05:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T06:00:00Z,41,1
Jessie Holmes,White Mountain_inTime,2019-03-14T07:00:00Z,41,1
